FID,rgn_id,AREA,Area_acres,PERIMETER,FISHPONDS_,FISHPOND_1,CORIALID,ISLAND,NAME1,NAME2,NAME3,TYPE_,CLASS,SIZE_,SOURCE,OWNERSHIP,WALLCONDIT,HREGSTAT,NATREGSTAT,SUBSURFACE,REF1,REF2,REF3,REF4,REF5,DHMFIELDCH,SEFACTOR1,SEFACTOR2,TMK,WATERQUALI,AQUACULTUR,HIARCHSITE
0,4,20586.931,5.087133585,788.26,2,48,K48,Kauai,nameless or,Kanoa, ,3,3,6.77,2,P, ,N,N, ,Kikuchi-1973,Madden & Paulsen-1977, , , ,1-Jun-90,Mr. Sheehan (Owner) stated he plans to bring this pond back,into production.  He noted that most of the silt whi,5-5-01:2,Class 2,N,?
1,4,1308.141,0.323248182,145.469,3,4,K4,Kauai,Kawaihau, , ,3,2,0,2,P, , , , , , , , , , , , ,4-3-03:, , ,?
2,4,1867.375,0.461437699,171.237,4,4,K4,Kauai,Kawaihau, , ,3,2,0,2,P, , , , , , , , , , , , ,4-3-03:, , ,?
3,4,6636.151,1.639826093,358.839,5,4,K4,Kauai,Kawaihau, , ,3,2,0,2,P, , , , , , , , , , , , ,4-3-03:, , ,?
4,4,8693.994,2.148329387,768.28,6,5,K5,Kauai,nameless, , ,2,2,0,2,P, , , , , , , , , , , , ,4-1-03:16, , ,?
5,4,11251.228,2.780234695,440.975,7,15,K15,Kauai,Kalalalehua or,Pepe'awa, ,3,4,0,2,P, , , , , , , , , , , , ,3-1-02:1, , ,?
6,4,899.665,0.22231172,131.83,8,21,K21,Kauai,nameless,Ho'ai,BPBM 50-Ka-B4-5,2,2,0,2,P, , , , , , , , , , , , ,2-6-06:2, , ,30-10-75?
7,4,2880.454,0.711774586,218.243,9,19,K19,Kauai,nameless,Weliweli ponds,BPBM 50-Ka-B4-7,2,2,0,2,P, , , , , , , , , , , , ,2-8-16:6, , ,30-10-77?
8,4,1485.489,0.367071759,156.752,10,20,K20,Kauai,nameless,Weliweli ponds,BPBM 50-Ka-B4-7,2,2,0,2,P, , , , , , , , , , , , ,2-8-16:6, , ,30-10-77?
9,4,679.19,0.167831245,106.119,11,18,K18,Kauai,nameless,Weliweli ponds,BPBM 50-Ka-B4-7,2,2,0,2,P, , , , , , , , , , , , ,2-8-16:6, , ,30-10-77?
10,4,224.198,0.055400447,53.243,12,17,K17,Kauai,nameless, , ,2,4,0,7,P, , , , , , , , , , , , ,2-8-17:25, , ,30-10-77?
11,3,58517.832,14.46004888,1151.138,13,124,O124,Oahu,"Ka'auhelemoa or Kahaluu, or",Ki'i (McAllister #268),BPBM #50-Oa-F4-10 & 11),3,4,0,2, , , , , , , , , , , , , , , , ,?
12,3,2984.716,0.737538247,220.42,14,121,O121,Oahu,Kalou or,Kalouwai, ,3,1,0,2,S, , , , , , , , , , , , ,5-8-01:15, , ,80-01-257?
13,3,16667.645,4.118658418,591.931,15,130,O130,Oahu,Huilua, , ,1,2,4.5,2,S,Poor,Y,Y, ,Apple & Kikuchi-1975,Hommon & Bevaqua-1973,Kelly-1979,McAllister-1933,MINARK-1989,9-May-89, , ,5-2-05:21 portion,Class AA, ,80-06-301?
14,3,196619.18,48.58558247,1810.34,16,133,O133,Oahu,Moli'i, , ,1,1,124.1,2,P,Good,N,Y, ,Apple & Kikuchi-1975,McAllister-1933,MINARK-1989,Sterling & Summers-1978, ,9-May-89,"Moli'i Fishpond has been stocked, harvested, and maintained",by George Uyemura and his family for many years. Mr. Uye,4-9-03:43,Class AA, ,80-06-313?
15,3,15009.759,3.708986498,628.203,17,131,O131,Oahu,Koholalele, , ,2,2,5.3,2,CCH,No wall,N,N, ,Apple & Kikuchi-1975,Gunness-1987,McAllister-1933,MINARK-1989,Sterling & Summers-1978,9-May-89,Identified in the Hawaiian Waterbird Recovery Plan as an,essential habitat area for Hawaiian waterbirds (U.S. Fish &,4-9-04:1 portion,Class 2, ,80-06-312?
16,3,127223.813,31.43764031,1313.271,18,134,O134,Oahu,Kahalu'u or,Kahouna, ,1,2,39.4,2,P,Excellent,N,Y, ,McAllister-1933,MINARK-1989, , , ,10-May-89,Pond is being maintained but not used for fish production.,"Dr. Yap, Linda Wong's father, reports that pollution",4-7-11:1,Class AA, ,80-10-319?
17,3,3029.776,0.748672798,198.123,19,135,O135,Oahu,nameless (or Fong),(McAllister #319A), ,1,2,1.5,2,P,Good,N,N, ,McAllister-1933, , , , ,24-May-89,The pond is being maintained but not used for commercial fish,"production.  Approximately one acre of the pond, which",4-7-09:4 portion,Class AA, ,?
18,3,331582.042,81.93558049,2378.967,20,137,O137,Oahu,He'eia or,He'eia-uli, ,1,2,96.7,2,P,Good,N,Y, ,Kelly-1975,McAllister-1933,Sterling & Summers-1978, , ,8-May-89, , ,4-6-05:1,Class AA, ,80-10-327?
19,3,101067.576,24.97430337,1364.903,21,155,O155,Oahu,Halehou or,Halekou, ,2,3,0,"2, 6, 7",F, , , , , , , , , , , , ,4-4-08:1, , ,80-11-1002?
20,3,150277.402,37.13429742,3025.781,22,156,O156,Oahu,Kaluapuhi, , ,1,3,0,"2, 6, 7",F, , , , , , , , , , , , ,4-4-08:1, , ,80-11-1002?
21,3,365616.056,90.34555552,2829.783,23,154,O154,Oahu,Nu'upia, , ,2,3,0,"2, 6, 7",F, , , , , , , , , , , , ,4-4-08:1, , ,80-11-1002?
22,3,11856.312,2.929753977,458.185,24,0,O0, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
23,3,9668.166,2.389052159,375.061,25,142,O142,Oahu,Kanohuluiwi, , ,1,1,3,2,P,Good,N, , ,Apple & Kikuchi-1975,McAllister-1933,MINARK-1989, , ,24-May-89,Fishpond owners report problems with pollution from adjacent,Makani Kai Marina.  They also shared information,4-5-57:1&9 portions,Class AA, ,80-10-344?
24,3,6165.059,1.523416904,361.919,26,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
25,3,1730.626,0.427646338,159.286,27,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
26,3,7452.066,1.841442769,397.323,28,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
27,3,989.537,0.24451954,125.444,29,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
28,3,1078.538,0.266512132,171.837,30,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
29,3,706.88,0.174673582,102.547,31,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
30,3,777.036,0.192009481,122.413,32,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
31,3,46483.72,11.48635963,1764.108,33,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
32,3,320.815,0.079274991,73.281,34,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
33,3,355.503,0.087846569,71.046,35,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
34,3,429.879,0.10622525,85.742,36,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
35,3,27333.153,6.754158772,1336.602,37,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
36,3,713.6,0.176334128,108.227,38,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
37,3,723.163,0.178697193,105.464,39,159,O159,Oahu,Kawainui,(McAllister #370),BPBM #50-Oa-G6-2,3,3,0,2,CCH, , , , , , , , , , , , ,4-2-16:1, , ,?
38,3,27397.381,6.770029832,685.929,40,96,O96,Oahu,Loko Moo, , ,1,3,0,2, , , , , , , , , , , , , ,9-6-01:1, , ,80-09-120?
39,3,32300.6,7.981639763,1005.491,41,95,O95,Oahu,Loko Kuhialoko, , ,1,4,0,2, , , , , , , , , , , , , ,9-6-01:1, , ,80-09-119?
40,3,761279.486,188.1159674,12055.14,42,1,O1,Oahu,Keahupua-O-Maunalua or,Kuapa (McAllister #49),BPBM 50-Oa-A1-51,1,3,0,2,P, , , , , , , , , , , , ,3-9-08:35 portion, , ,?
41,,16077.511,3.972833356,504.941,43,0,O0, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
42,,5602.849,1.384492002,295.099,44,0,O0, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
43,,56972.419,14.0781696,917.183,45,0,O0, , , , ,0,0,0, , , , , , , , , , , , , , , , , , 
44,2,4140.458,1.023127874,261.923,46,71,N71,Molokai,'Ohalahala, , ,1,4,0,1,S, , , , , , , , , , , , ,5-8-01:3, , ,60-05-231?
45,2,19179.268,4.739293019,719.157,47,70,N70,Molokai,Kahinapohaku or,Ka'apohaku, ,1,3,0,7,S, , , , , , , , , , , , ,5-8-01:2, , ,60-05-228?
46,2,34812.619,8.602372218,1233.487,48,14,N14,Molokai,'O'o'ia, , ,1,3,0,1,P, , , , , , , , , , , , ,5-2-11:25, , ,60-02-103?
47,2,35493.928,8.770727078,874.676,49,15,N15,Molokai,Kalua'apuhi, , ,1,2,19,1,P,Excellent,N,N, ,Estioko-Griifin-1987,MINARK-1989,Summers-1971, , ,18-May-89,Located adjacent to Molokai's biomass electric plant. Identi-,fied in the Hawaiian Waterbirds Recovery Plan as an esse,5-2-11:25,Class A, ,60-03-104?
48,2,3976.403,0.982589063,260.545,50,13,N13,Molokai,Punalau, , ,2,3,0,7,P, , , , , , , , , , , , ,5-2-11:11, , ,60-02-102?
49,2,9237.223,2.282563989,490.961,51,18,N18,Molokai,'Ohaipilo or,'Ohi'apilo, ,2,4,0,2,HHL, , , , , , , , , , , , ,5-2-11:1, , ,60-03-118?
50,2,7292.627,1.802044595,339.921,52,17,N17,Molokai,Kahokai or,Kakokahi, ,2,3,0,7,HHL, , , , , , , , , , , , ,_-2-11:1, , ,60-03-117?
51,2,123042.053,30.40430651,1678.275,53,7,N7,Molokai,Pakanaka, , ,5,3,0,1,P, , , , , , , , , , , , ,5-1-02:4, , ,60-02-97?
52,2,50248.298,12.41660568,1022.832,54,6,N6,Molokai,nameless, , ,1,3,0,1,P, , , , , , , , , , , , ,5-1-02:4, , ,60-02-80?
53,2,83592.382,20.65609555,1270.34,55,5,N5,Molokai,Naninaniku'eku'e, , ,5,3,0,1,P, , , , , , , , , , , , ,5-1-02:4, , ,60-02-79?
54,2,8213.611,2.029624346,397.744,56,4,N4,Molokai,Hikauhi, , ,1,3,0,1,P, , , , , , , , , , , , ,5-1-02:4, , ,60-02-78?
55,2,4527.914,1.118870189,298.428,57,63,N63,Molokai,Kula'alamihi, , ,1,3,0,1,P, , , , , , , , , , , , ,5-7-04:34, , ,60-05-214?
56,2,5822.004,1.438646298,332.169,58,62,N62,Molokai,Waihilahila, , ,1,3,4.7,1,P,Fair,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,19-May-89,Directly associated with two other fishponds (Kihaloko and,Kula'alamihi).,5-7-06:27,Class AA, ,60-05-213?
