rgn_id,catch_total,mean_score,fishery
1,712880.7,0.7856483448996303,reef
2,588157.92,0.8013838327777796,reef
3,1215432.24,0.7903704130187631,reef
4,178169.8,0.8562018448834287,reef
1,86447.8,0.8755555555555555,bottomfish
2,235011,0.8755555555555555,bottomfish
3,51677.2,0.8755555555555555,bottomfish
4,55045.4,0.8755555555555555,bottomfish
NA,3246,0.8885,bottomfish
1,159922.8,NA,coastal_pelagic
2,81726.8,NA,coastal_pelagic
3,285885.4,NA,coastal_pelagic
4,55494.6,NA,coastal_pelagic
1,30230053,0.7980351633986928,pelagic
