"goal","dimension","region_id","score"
"AO","future",0,51.82
"AO","future",1,32.75
"AO","future",2,54.32
"AO","future",3,58.5
"AO","future",4,61.71
"AO","pressures",1,20.43
"AO","pressures",2,19.6
"AO","pressures",3,22.18
"AO","pressures",4,19.93
"AO","resilience",1,77.15
"AO","resilience",2,77.15
"AO","resilience",3,77.15
"AO","resilience",4,77.15
"AO","score",0,47.47
"AO","score",1,30
"AO","score",2,50.06
"AO","score",3,53.44
"AO","score",4,56.39
"AO","status",0,43.12
"AO","status",1,27.26
"AO","status",2,45.8
"AO","status",3,48.37
"AO","status",4,51.07
"AO","trend",1,0.02
"AO","trend",2,-0.01
"AO","trend",3,0.04
"AO","trend",4,0.03
"BD","future",0,66.83
"BD","future",1,68.27
"BD","future",2,69.39
"BD","future",3,62.4
"BD","future",4,67.26
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,63.57
"BD","score",1,65.23
"BD","score",2,66.09
"BD","score",3,59.16
"BD","score",4,63.8
"BD","status",0,60.31
"BD","status",1,62.19
"BD","status",2,62.78
"BD","status",3,55.92
"BD","status",4,60.34
"BD","trend",1,-0.03
"BD","trend",2,-0.02
"BD","trend",3,0
"BD","trend",4,0
"CP","future",0,28.79
"CP","future",1,31.84
"CP","future",2,24.88
"CP","future",3,28.96
"CP","future",4,29.48
"CP","pressures",1,28.58
"CP","pressures",2,27.81
"CP","pressures",3,29.64
"CP","pressures",4,27.98
"CP","resilience",1,57.1
"CP","resilience",2,56.18
"CP","resilience",3,57.1
"CP","resilience",4,57.3
"CP","score",0,29.27
"CP","score",1,32.53
"CP","score",2,25.29
"CP","score",3,29.42
"CP","score",4,29.84
"CP","status",0,29.75
"CP","status",1,33.22
"CP","status",2,25.7
"CP","status",3,29.88
"CP","status",4,30.19
"CP","trend",1,-0.2
"CP","trend",2,-0.19
"CP","trend",3,-0.18
"CP","trend",4,-0.18
"CS","future",0,53.51
"CS","future",1,52.25
"CS","future",2,54.23
"CS","future",3,53.39
"CS","future",4,54.18
"CS","pressures",1,30.47
"CS","pressures",2,27.86
"CS","pressures",3,28.83
"CS","pressures",4,26.91
"CS","resilience",1,54.55
"CS","resilience",2,52.55
"CS","resilience",3,53.05
"CS","resilience",4,53.21
"CS","score",0,51.76
"CS","score",1,51.12
"CS","score",2,52.11
"CS","score",3,51.69
"CS","score",4,52.09
"CS","status",0,50
"CS","status",1,50
"CS","status",2,50
"CS","status",3,50
"CS","status",4,50
"CS","trend",1,-0.05
"CS","trend",2,0
"CS","trend",3,-0.02
"CS","trend",4,0
"CW","future",0,75.98
"CW","future",1,76.52
"CW","future",2,76.92
"CW","future",3,74.62
"CW","future",4,75.87
"CW","pressures",1,35.07
"CW","pressures",2,33.5
"CW","pressures",3,42.53
"CW","pressures",4,37.61
"CW","resilience",1,39.77
"CW","resilience",2,39.77
"CW","resilience",3,39.77
"CW","resilience",4,39.77
"CW","score",0,76.55
"CW","score",1,76.82
"CW","score",2,77.01
"CW","score",3,75.87
"CW","score",4,76.49
"CW","status",0,77.11
"CW","status",1,77.11
"CW","status",2,77.11
"CW","status",3,77.11
"CW","status",4,77.11
"CW","trend",1,-0.03
"CW","trend",2,-0.03
"CW","trend",3,-0.03
"CW","trend",4,-0.03
"ECO","future",0,87.35
"ECO","future",1,100
"ECO","future",2,49.41
"ECO","future",3,100
"ECO","future",4,100
"ECO","pressures",1,23.34
"ECO","pressures",2,21.93
"ECO","pressures",3,23.88
"ECO","pressures",4,22.33
"ECO","resilience",1,71.67
"ECO","resilience",2,71.67
"ECO","resilience",3,71.67
"ECO","resilience",4,71.67
"ECO","score",0,93.68
"ECO","score",1,100
"ECO","score",2,74.71
"ECO","score",3,100
"ECO","score",4,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","trend",1,1
"ECO","trend",2,-1
"ECO","trend",3,1
"ECO","trend",4,1
"FIS","future",0,99.5
"FIS","future",1,100
"FIS","future",2,98.44
"FIS","future",3,99.58
"FIS","future",4,100
"FIS","pressures",1,22.48
"FIS","pressures",2,22.69
"FIS","pressures",3,23.33
"FIS","pressures",4,22.82
"FIS","resilience",1,72.1
"FIS","resilience",2,72.1
"FIS","resilience",3,72.1
"FIS","resilience",4,72.1
"FIS","score",0,93.29
"FIS","score",1,93.85
"FIS","score",2,92.32
"FIS","score",3,93.19
"FIS","score",4,93.8
"FIS","status",0,87.08
"FIS","status",1,87.7
"FIS","status",2,86.2
"FIS","status",3,86.8
"FIS","status",4,87.6
"FIS","trend",1,-0.03
"FIS","trend",2,-0.03
"FIS","trend",3,-0.02
"FIS","trend",4,-0.03
"FP","future",0,97.92
"FP","future",1,99.03
"FP","future",2,96.61
"FP","future",3,97.29
"FP","future",4,98.75
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","score",0,91.86
"FP","score",1,93
"FP","score",2,90.55
"FP","score",3,91.14
"FP","score",4,92.76
"FP","status",0,85.81
"FP","status",1,86.97
"FP","status",2,84.48
"FP","status",3,85
"FP","status",4,86.78
"FP","trend",1,-0.03
"FP","trend",2,-0.02
"FP","trend",3,-0.03
"FP","trend",4,-0.03
"HAB","future",0,49.78
"HAB","future",1,49.01
"HAB","future",2,57.22
"HAB","future",3,47.83
"HAB","future",4,45.05
"HAB","pressures",1,31.38
"HAB","pressures",2,29.18
"HAB","pressures",3,29.68
"HAB","pressures",4,29.17
"HAB","resilience",1,73.3
"HAB","resilience",2,72.94
"HAB","resilience",3,73.03
"HAB","resilience",4,73.06
"HAB","score",0,47.24
"HAB","score",1,47.06
"HAB","score",2,53.93
"HAB","score",3,45.39
"HAB","score",4,42.56
"HAB","status",0,44.7
"HAB","status",1,45.11
"HAB","status",2,50.64
"HAB","status",3,42.96
"HAB","status",4,40.07
"HAB","trend",1,-0.08
"HAB","trend",2,-0.02
"HAB","trend",3,-0.04
"HAB","trend",4,-0.03
"ICO","future",0,75.37
"ICO","future",1,75.47
"ICO","future",2,75.46
"ICO","future",3,75.24
"ICO","future",4,75.32
"ICO","pressures",1,24.01
"ICO","pressures",2,24.07
"ICO","pressures",3,25.1
"ICO","pressures",4,24.72
"ICO","resilience",1,72.77
"ICO","resilience",2,72.77
"ICO","resilience",3,72.77
"ICO","resilience",4,72.77
"ICO","score",0,69.83
"ICO","score",1,69.88
"ICO","score",2,69.87
"ICO","score",3,69.76
"ICO","score",4,69.8
"ICO","status",0,64.28
"ICO","status",1,64.28
"ICO","status",2,64.28
"ICO","status",3,64.28
"ICO","status",4,64.28
"ICO","trend",1,0.02
"ICO","trend",2,0.02
"ICO","trend",3,0.02
"ICO","trend",4,0.02
"Index","future",0,62.76
"Index","future",1,62.06
"Index","future",2,62.41
"Index","future",3,62.53
"Index","future",4,64.06
"Index","score",0,60.54
"Index","score",1,59.7
"Index","score",2,61.12
"Index","score",3,60.09
"Index","score",4,61.27
"LE","future",0,93.68
"LE","future",1,100
"LE","future",2,74.71
"LE","future",3,100
"LE","future",4,100
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",3,
"LE","pressures",4,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",3,
"LE","resilience",4,
"LE","score",0,91.69
"LE","score",1,95.13
"LE","score",2,84.01
"LE","score",3,94.89
"LE","score",4,92.75
"LE","status",0,89.71
"LE","status",1,90.25
"LE","status",2,93.31
"LE","status",3,89.78
"LE","status",4,85.5
"LE","trend",1,0.79
"LE","trend",2,-0.21
"LE","trend",3,0.78
"LE","trend",4,0.79
"LIV","future",0,100
"LIV","future",1,100
"LIV","future",2,100
"LIV","future",3,100
"LIV","future",4,100
"LIV","pressures",1,23.24
"LIV","pressures",2,21.77
"LIV","pressures",3,23.83
"LIV","pressures",4,21.94
"LIV","resilience",1,57.34
"LIV","resilience",2,57.34
"LIV","resilience",3,57.34
"LIV","resilience",4,57.34
"LIV","score",0,89.71
"LIV","score",1,90.25
"LIV","score",2,93.31
"LIV","score",3,89.78
"LIV","score",4,85.5
"LIV","status",0,79.42
"LIV","status",1,80.51
"LIV","status",2,86.61
"LIV","status",3,79.56
"LIV","status",4,70.99
"LIV","trend",1,0.57
"LIV","trend",2,0.58
"LIV","trend",3,0.55
"LIV","trend",4,0.58
"LSP","future",0,77.75
